bar,beat,note,chord,replaced,original_value
1,1,42,C-7,False,
1,2,45,C-7,False,
1,3,41,C-7,True,45
1,4,50,C-7,False,
2,1,46,F7,True,42
2,2,50,F7,False,
2,3,48,F7,False,
2,4,51,F7,False,
3,1,41,Bbj7,False,
3,2,45,Bbj7,False,
3,3,45,Ebj7,False,
3,4,34,Ebj7,False,
4,1,45,D-7,False,
4,2,45,D-7,False,
4,3,43,Db-7,False,
4,4,50,Db-7,False,
5,1,48,C-7,True,43
5,2,45,C-7,False,
5,3,45,C-7,False,
5,4,42,C-7,True,50
6,1,43,F7,False,
6,2,50,F7,False,
6,3,48,F7,False,
6,4,51,F7,False,
7,1,41,Bbj7,False,
7,2,51,Bbj7,False,
7,3,50,Bbj7,True,50
7,4,48,Bbj7,False,
8,1,50,C-7,False,
8,2,45,C-7,False,
8,3,42,C-7,False,
8,4,45,C-7,False,
9,1,42,C-7,False,
9,2,45,C-7,False,
9,3,42,C-7,False,
9,4,50,C-7,False,
10,1,42,F7,False,
10,2,50,F7,False,
10,3,48,F7,False,
10,4,51,F7,False,
11,1,41,Bbj7,False,
11,2,45,Bbj7,False,
11,3,45,Ebj7,False,
11,4,50,Ebj7,False,
12,1,51,D-7,False,
12,2,45,D-7,False,
12,3,50,Db-7,False,
12,4,44,Db-7,False,
13,1,43,C-7,False,
13,2,41,C-7,True,45
13,3,45,C-7,False,
13,4,51,C-7,True,50
14,1,43,F7,False,
14,2,50,F7,False,
14,3,46,F7,True,48
14,4,39,F7,True,51
15,1,38,Bb,True,41
15,2,43,Bb,True,51
15,3,42,Bb,True,50
15,4,49,Bb,False,
16,1,48,F-7,False,
16,2,41,F-7,False,
16,3,41,Bb7,False,
16,4,50,Bb7,False,
17,1,45,Ebj7,False,
17,2,50,Ebj7,True,48
17,3,50,Ebj7,False,
17,4,40,Ebj7,False,
18,1,44,Eb-7,True,42
18,2,51,Eb-7,False,
18,3,40,Eb-7,True,51
18,4,46,Eb-7,True,47
19,1,40,D-7,False,
19,2,41,D-7,False,
19,3,48,D-7,False,
19,4,48,D-7,True,41
20,1,44,Ao7,True,51
20,2,38,Ao7,False,
20,3,45,D+7,False,
20,4,40,D+7,True,51
21,1,50,G-7,False,
21,2,48,G-7,False,
21,3,49,G-7,True,51
21,4,45,G-7,False,
22,1,42,C7,True,42
22,2,45,C7,False,
22,3,47,C7,True,45
22,4,45,C7,True,50
23,1,43,C-7,False,
23,2,45,C-7,False,
23,3,45,C-7,False,
23,4,50,C-7,False,
24,1,48,F7,False,
24,2,48,F7,False,
24,3,50,F7,False,
24,4,45,F7,False,
25,1,51,C-7,True,42
25,2,45,C-7,False,
25,3,45,C-7,False,
25,4,50,C-7,False,
26,1,48,F7,False,
26,2,47,F7,True,48
26,3,50,F7,False,
26,4,51,F7,False,
27,1,41,Bbj7,False,
27,2,45,Bbj7,False,
27,3,45,Ebj7,False,
27,4,45,Ebj7,False,
28,1,45,D-7,False,
28,2,45,D-7,False,
28,3,43,Db-7,False,
28,4,50,Db-7,False,
29,1,48,C-7,True,43
29,2,45,C-7,False,
29,3,43,C-7,True,45
29,4,50,C-7,False,
30,1,42,F7,False,
30,2,38,F7,True,50
30,3,48,F7,False,
30,4,42,F7,True,51
31,1,51,Bbj7,False,
31,2,51,Bbj7,False,
31,3,50,Bbj7,False,
31,4,49,Bbj7,False,
32,1,48,Bbj7,False,
32,2,48,Bbj7,False,
32,3,40,Bbj7,False,
32,4,45,Bbj7,True,50
33,1,51,NC,True,42
