bar,beat,note,chord,replaced,original_value
1,1,43,C,False,
1,2,47,C,False,
1,3,47,C,False,
1,4,47,C,False,
2,1,47,C,False,
2,2,47,C,False,
2,3,47,C,False,
2,4,41,C,False,
3,1,50,G7,False,
3,2,44,G7,False,
3,3,43,G7,False,
3,4,37,G7,False,
4,1,43,C,False,
4,2,42,C,False,
4,3,41,C,False,
4,4,51,C,False,
5,1,43,C,False,
5,2,45,C,False,
5,3,47,C,False,
5,4,47,C,False,
6,1,47,C,False,
6,2,44,C,False,
6,3,41,C,False,
6,4,41,C,False,
7,1,37,G7,False,
7,2,37,G7,False,
7,3,37,G7,False,
7,4,37,G7,False,
8,1,50,C,False,
8,2,37,C,False,
8,3,47,C,False,
8,4,47,C,False,
9,1,42,C,False,
9,2,45,C,False,
9,3,47,C,False,
9,4,47,C,False,
10,1,51,C,False,
10,2,42,C,False,
10,3,41,C,False,
10,4,42,C,False,
11,1,43,G7,False,
11,2,42,G7,False,
11,3,41,G7,False,
11,4,51,G7,False,
12,1,47,C,False,
12,2,47,C,False,
12,3,47,C,False,
12,4,40,C,False,
13,1,43,C,False,
13,2,42,C,False,
13,3,47,C,False,
13,4,47,C,False,
14,1,48,C,False,
14,2,47,C,False,
14,3,45,C,False,
14,4,43,C,False,
15,1,42,G7,False,
15,2,51,G7,False,
15,3,44,G7,False,
15,4,40,G7,False,
16,1,43,C,False,
16,2,37,C,False,
16,3,37,C,False,
16,4,37,C,False,
17,1,43,C7,False,
17,2,43,C7,False,
17,3,44,C7,False,
17,4,44,C7,False,
18,1,43,C7,False,
18,2,43,C7,False,
18,3,37,C7,False,
18,4,37,C7,False,
19,1,47,F7,False,
19,2,47,F7,False,
19,3,42,F7,False,
19,4,43,F7,False,
20,1,41,F7,False,
20,2,41,F7,False,
20,3,42,F7,False,
20,4,42,F7,False,
21,1,42,Bb7,False,
21,2,42,Bb7,False,
21,3,42,Bb7,False,
21,4,42,Bb7,False,
22,1,42,Bb7,False,
22,2,42,Bb7,False,
22,3,47,Bb7,False,
22,4,47,Bb7,False,
23,1,34,Ab7,False,
23,2,47,Ab7,False,
23,3,40,Ab7,False,
23,4,51,Ab7,False,
24,1,44,G7,False,
24,2,37,G7,False,
24,3,37,G7,False,
24,4,38,G7,False,
25,1,43,C,False,
25,2,44,C,False,
25,3,44,C,False,
25,4,45,C,False,
26,1,47,G7,False,
26,2,47,G7,False,
26,3,47,G7,False,
26,4,47,G7,False,
27,1,50,G7,False,
27,2,50,G7,False,
27,3,37,G7,False,
27,4,42,G7,False,
28,1,47,C,False,
28,2,47,C,False,
28,3,47,C,False,
28,4,37,C,False,
29,1,43,C,False,
29,2,43,C,False,
29,3,44,C,False,
29,4,42,C,False,
30,1,47,C,False,
30,2,47,C,False,
30,3,47,C,False,
30,4,37,C,False,
