bar,beat,note,chord,replaced,original_value
1,1,49,Db7,False,
1,2,48,Db7,False,
1,3,47,Db7,False,
1,4,48,Db7,False,
2,1,51,Db7,False,
2,2,49,Db7,False,
2,3,47,Db7,False,
2,4,49,Db7,False,
3,1,50,Gb7,False,
3,2,51,Gb7,False,
3,3,49,Gb7,False,
3,4,48,Gb7,False,
4,1,49,Gb7,False,
4,2,42,Gb7,False,
4,3,50,Gb7,False,
4,4,50,Gb7,False,
5,1,50,F7,False,
5,2,50,F7,False,
5,3,51,E7,False,
5,4,51,E7,False,
6,1,50,Eb7,False,
6,2,50,Eb7,False,
6,3,47,Eb7,False,
6,4,50,Eb7,False,
7,1,50,D7,False,
7,2,50,D7,False,
7,3,45,D7,False,
7,4,49,D7,False,
8,1,50,D7,False,
8,2,42,D7,False,
8,3,48,D7,False,
8,4,47,D7,False,
9,1,48,Db7,False,
9,2,51,Db7,False,
9,3,48,Db7,False,
9,4,47,Db7,False,
10,1,48,Db7,False,
10,2,51,Db7,False,
10,3,50,Db7,False,
10,4,42,Db7,False,
11,1,50,Gb7,False,
11,2,49,Gb7,False,
11,3,47,Gb7,False,
11,4,44,Gb7,False,
12,1,49,Gb7,False,
12,2,44,Gb7,False,
12,3,48,Gb7,False,
12,4,49,Gb7,False,
13,1,48,F7,False,
13,2,48,F7,False,
13,3,47,E7,False,
13,4,47,E7,False,
14,1,47,Eb7,False,
14,2,47,Eb7,False,
14,3,42,Eb7,False,
14,4,47,Eb7,False,
15,1,45,D7,False,
15,2,47,D7,False,
15,3,49,D7,False,
15,4,50,D7,False,
16,1,50,D7,False,
16,2,40,D7,False,
16,3,45,D7,False,
16,4,49,D7,False,
17,1,50,D-7,False,
17,2,43,D-7,False,
17,3,42,G7,False,
17,4,40,G7,False,
18,1,50,G7,False,
18,2,40,G7,False,
18,3,41,G7,False,
18,4,42,G7,False,
19,1,43,C7,False,
19,2,47,C7,False,
19,3,48,C7,False,
19,4,49,C7,False,
20,1,50,C7,False,
20,2,41,C7,False,
20,3,43,C7,False,
20,4,47,C7,False,
21,1,50,C-7,False,
21,2,51,C-7,False,
21,3,50,C-7,False,
21,4,50,C-7,False,
22,1,50,F7,False,
22,2,50,F7,False,
22,3,48,F7,False,
22,4,37,F7,False,
23,1,50,E7,False,
23,2,41,E7,False,
23,3,37,A7913b,False,
23,4,50,A7913b,False,
24,1,51,Ab7alt,False,
24,2,50,Ab7alt,False,
24,3,50,Ab7alt,False,
24,4,45,Ab7alt,False,
25,1,44,Db7,False,
25,2,44,Db7,False,
25,3,49,Db7,False,
25,4,48,Db7,False,
26,1,50,Db7,False,
26,2,50,Db7,False,
26,3,50,Db7,False,
26,4,50,Db7,False,
27,1,51,Gb7,False,
27,2,50,Gb7,False,
27,3,49,Gb7,False,
27,4,42,Gb7,False,
28,1,44,Gb7,False,
28,2,37,Gb7,False,
28,3,49,Gb7,False,
28,4,50,Gb7,False,
29,1,41,F7,True,50
29,2,43,F7,False,
29,3,48,E7,False,
29,4,42,E7,False,
